Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2019,1,AGUASCALIENTES,11,EL LLANO,MC,293,10322,0,284,10606,15183,293,No
2019,1,AGUASCALIENTES,11,EL LLANO,MORENA,618,10322,0,284,10606,15183,618,No
2019,1,AGUASCALIENTES,11,EL LLANO,UPM,261,10322,0,284,10606,15183,261,No
2019,1,AGUASCALIENTES,11,EL LLANO,PLA,103,10322,0,284,10606,15183,103,No
2019,1,AGUASCALIENTES,11,EL LLANO,NAA,2223,10322,0,284,10606,15183,2223,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PAN,21598,112920,158,3516,116594,393324,21598,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PRI,7717,112920,158,3516,116594,393324,7717,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PRD,3432,112920,158,3516,116594,393324,3432,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM,1940,112920,158,3516,116594,393324,1940,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PT,6281,112920,158,3516,116594,393324,6281,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,MC,4881,112920,158,3516,116594,393324,4881,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,MORENA,48410,112920,158,3516,116594,393324,48410,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_PT_TRANS_MORENA,217,112920,158,3516,116594,393324,59329,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_PT_TRANS,61,112920,158,3516,116594,393324,10763,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_PT_MORENA,148,112920,158,3516,116594,393324,56779,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_TRANS_MORENA,45,112920,158,3516,116594,393324,52876,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PT_TRANS_MORENA,229,112920,158,3516,116594,393324,57401,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_PT,70,112920,158,3516,116594,393324,8291,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_TRANS,21,112920,158,3516,116594,393324,4442,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PVEM_MORENA,104,112920,158,3516,116594,393324,50454,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PT_TRANS,52,112920,158,3516,116594,393324,8814,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PT_MORENA,422,112920,158,3516,116594,393324,55113,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,TRANS_MORENA,275,112920,158,3516,116594,393324,51166,Sí
2019,2,BAJA CALIFORNIA,1,ENSENADA,PBC,2708,112920,158,3516,116594,393324,2708,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,TRANS,2481,112920,158,3516,116594,393324,2481,No
2019,2,BAJA CALIFORNIA,1,ENSENADA,Candidatura Independiente,5834,112920,158,3516,116594,393324,5834,No
