ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,204,TRES VALLES,33,69,2062,905,222,4633,448,1799,6477,,999,,31,271,605,,132,25,3,2,,,,,,,,,,,,,,,,,,,18614,4,509,19127,32432,
30,VERACRUZ,188,TUXPAN,75,201,8566,1560,631,13578,443,3602,17319,538,1106,,530,454,999,3313,257,80,35,6,,,,,,,,,5685,,,,,,,,,,58702,16,1433,60151,115266,
30,VERACRUZ,189,TUXTILLA,2,4,2,2,3,5,17,0,964,4,679,0,0,6,1,2,,,,,2,0,0,2,,,,,,,,,,,,,,,1689,,23,1712,1942,
30,VERACRUZ,190,URSULO GALVAN,23,45,571,1317,102,52,92,3189,2671,3429,299,1011,795,338,366,563,153,19,3,2,94,2,5,16,,,,,,,,,,,,,,,15089,1,325,15415,23917,
30,VERACRUZ,209,UXPANAPA,17,41,3268,87,61,339,861,2604,1611,134,817,195,299,120,648,2353,,,,,127,56,16,24,,,,,,,,,,,,,,,13620,2,323,13945,20100,
30,VERACRUZ,191,VEGA DE ALATORRE,21,33,240,1347,119,3681,701,722,2071,108,12,25,33,306,140,104,116,28,5,10,,,,,,,,,,,,,,,,,,,9768,1,229,9998,15129,
30,VERACRUZ,192,VERACRUZ,363,808,92386,8559,1963,5915,2474,7069,91636,2120,406,390,1022,1482,2154,2554,1350,520,158,20,990,100,459,482,,,,,,,,,,,,,,,224209,102,4259,228570,472508,
30,VERACRUZ,193,VILLA ALDAMA,5,15,68,306,26,15,26,319,1122,388,448,347,105,1231,1082,878,35,17,1,2,9,0,1,6,,,,,,,,,,,,,,,6432,0,108,6540,8397,
30,VERACRUZ,89,XALAPA,254,645,24025,30159,2311,9033,4604,8321,99184,1269,1246,1018,3263,3377,2302,2366,2340,521,67,70,1144,141,574,496,,,,,,,,,,,,,,,197831,145,4228,202204,383349,
30,VERACRUZ,194,XICO,19,49,1191,6654,886,408,178,573,6949,143,59,14,844,,554,222,,,,,54,3,48,18,,,,,,,,,,,,,,,18798,6,472,19276,27890,
30,VERACRUZ,195,XOXOCOTLA,2,6,1028,283,5,31,41,13,641,,,66,,24,468,434,,,,,2,0,1,2,,,,,,,,,,,,,,,3039,1,101,3141,4012,
30,VERACRUZ,196,YANGA,14,26,1123,2704,42,32,470,687,2344,52,268,429,60,55,34,729,,,,,,,,,,,,,,,,,,,,,,,9029,8,244,9281,13858,
30,VERACRUZ,197,YECUATLA,10,18,81,100,2261,148,47,3104,281,19,63,3,0,9,296,0,50,1,15,9,12,3,4,1,,,,,,,,,,,,,,,6507,0,204,6711,8550,
30,VERACRUZ,198,ZACUALPAN,6,11,1679,8,2119,5,11,4,65,,2,,,20,13,1,,,,,0,0,0,0,,,,,,,,,,,,,,,3927,0,182,4109,4810,
30,VERACRUZ,199,ZARAGOZA,4,13,11,744,1209,2,11,74,446,11,418,,83,488,1027,1243,,,,,1,0,0,1,,,,,,,,,,,,,,,5769,,103,5872,8463,
30,VERACRUZ,200,ZENTLA,9,18,2138,1039,23,704,146,181,984,46,278,884,,,37,193,,,,,77,13,17,4,,,,,,,,,,,,,,,6764,3,226,6993,9951,
30,VERACRUZ,201,ZONGOLICA,28,58,437,420,7369,8415,321,853,1998,,38,16,69,156,133,38,232,16,95,44,325,159,164,16,,,,,,,,,,,,,,,21314,4,993,22311,32856,
30,VERACRUZ,202,ZONTECOMATLAN,8,20,3463,116,8,3091,22,16,253,26,117,8,,,,,,,,,,,,,,,,,,,,,,,,,,,7120,0,189,7309,9409,
30,VERACRUZ,203,ZOZOCOLCO DE HIDALGO,8,16,3650,159,26,161,38,13,3095,33,34,,10,,,55,86,16,8,0,16,2,15,4,,,,,,,,,,,,,,,7421,0,94,7515,9557,
