ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,PT_MORENA_NAEM_CC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,11,ATENCO,14,71,589,6129,2319,589,213,1660,7493,223,85,1276,292,,,,,29,16,1,20,,4005,,,,,,,,,,,,,,,24939,12,492,25443,47691,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M011.pdf
15,MEXICO,12,ATIZAPAN,4,14,871,1940,349,66,101,24,750,539,709,150,25,,,,,6,4,0,2,,,,,,,,,,,,,,,,,5536,3,228,5767,8944,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M012.pdf
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,168,635,81315,29335,2776,7387,2579,5678,66735,2616,1640,3783,2290,2326,650,93,32,524,453,42,114,,,,,,,,,,,,,,,,,210368,232,4468,215068,411231,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M013.pdf
15,MEXICO,14,ATLACOMULCO,39,128,1465,13513,215,3728,1544,1804,11315,739,513,7445,483,308,66,11,13,108,122,15,29,,,2064,,,,,,,,,,,,,,45500,21,956,46477,79186,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M014.pdf
15,MEXICO,15,ATLAUTLA,13,38,75,2805,3954,123,144,536,1337,392,3110,146,,,71,,,0,44,0,0,,,,,,,,,,,,,,,,,12737,15,214,12966,22341,http://www.ieem.org.mx/proceso2022/actamun/ACM2022_M015.pdf
15,MEXICO,16,AXAPUSCO,20,35,2968,5357,485,197,1631,760,1250,66,183,854,126,,,,,,,,,,,,,,,,,,,,,,,,,13877,4,303,14184,19039,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M016.pdf
15,MEXICO,17,AYAPANGO,5,11,127,786,1975,319,64,88,1144,,17,25,13,,,,,4,2,0,0,,,,,,,,,,,,,,,,,4564,1,95,4660,6197,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M017.pdf
15,MEXICO,18,CALIMAYA,16,65,7730,3236,335,1535,1415,341,7032,172,421,259,389,313,109,20,6,87,68,9,17,,,,,1880,,,,,,,,,,,,25374,12,613,25999,41658,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M018.pdf
15,MEXICO,19,CAPULHUAC,12,42,1527,3713,2543,466,,70,,204,394,1572,,,,,,,,,,2372,,,,,,,,,,,,,,,,12861,14,278,13153,26898,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M019.pdf
15,MEXICO,20,COACALCO DE BERRIOZABAL,106,354,10261,28451,4533,9749,1256,6461,41077,2463,5738,3649,1021,922,158,30,116,159,280,13,63,,,,,,,,,,,,,,,,,116400,211,2695,119306,227735,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M020.pdf
15,MEXICO,21,COATEPEC HARINAS,19,52,829,7563,171,138,4193,124,1477,,902,450,125,187,62,3,10,52,119,17,9,,,,,,,,,,,,,,,,,16431,10,546,16987,28298,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M021.pdf
15,MEXICO,22,COCOTITLAN,6,19,210,668,268,480,,2699,,295,925,1264,,31,3,1,5,,,,,1354,,,,,,,,,,,,,,,,8203,1,173,8377,11946,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M022.pdf
