ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PODEMOS,MAS_X_HIDALGO,NVA_ALIANZA,ESH,PAN_PRD,PVEM_PT_MORENA_ESH,PVEM_PT_MORENA,PVEM_PT_ESH,PVEM_PT,PVEM_MORENA,PVEM_ESH,PVEM_MORENA_ESH,PT_MORENA_ESH,PT_MORENA,PT_ESH,MORENA_ESH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,14,CARDONAL,17,28,58,1670,768,430,2254,139,1273,972,,767,12,,,,,,,,,,,,,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9109,6,192,9307,14580,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,71,700,5364,479,774,121,4207,2006,379,439,1226,2676,116,,,,,,,,,,,,,,,,,,1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20235,6,475,20716,43005,
13,HIDALGO,16,CHAPANTONGO,10,16,93,2696,15,2795,15,,227,37,592,449,38,1,16,13,4,4,26,3,8,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7033,0,128,7161,9828,
13,HIDALGO,17,CHAPULHUACAN,25,33,,2439,4995,,,,578,78,,152,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10304,11,314,10629,16286,
13,HIDALGO,18,CHILCUAUTLA,15,25,161,1678,2365,692,813,,1795,494,44,273,16,,,,,,,,,,,,,,,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,9153,0,233,9386,13628,
13,HIDALGO,19,EL ARENAL,11,24,274,2788,39,,1283,1935,1343,92,254,363,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8457,0,137,8594,13851,
13,HIDALGO,20,ELOXOCHITLAN,7,8,1,44,1119,1,4,3,32,1087,,1,0,,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,1,27,2321,2585,
13,HIDALGO,21,EMILIANO ZAPATA,8,18,328,1968,,40,28,,571,380,190,2182,86,,13,6,0,1,1,2,2,2,1,0,3,,,,,,,,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,6321,7,157,6485,11207,
13,HIDALGO,22,EPAZOYUCAN,11,23,1348,1796,60,22,21,1497,811,253,60,255,628,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6772,0,138,6910,11938,
13,HIDALGO,23,FRANCISCO I. MADERO,17,46,29,2420,256,1219,1004,511,2896,1763,,5700,411,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16230,5,308,16543,27171,
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,5140,658,44,22,,151,1645,46,,414,15,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,8258,0,159,8417,13941,
13,HIDALGO,25,HUAUTLA,26,35,398,999,116,489,503,114,2067,788,,2585,3455,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,11708,1,274,11983,15766,
13,HIDALGO,26,HUAZALINGO,10,19,17,3563,2809,,26,,352,34,95,16,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6964,2,175,7141,8938,
13,HIDALGO,27,HUEHUETLA,16,32,20,3287,17,194,275,,94,4202,76,2762,15,,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,,,,,,,,,,,,,,,,,,,,12002,304,348,12654,16729,
13,HIDALGO,28,HUEJUTLA DE REYES,52,153,11181,11725,347,369,947,,6476,1100,,2036,16393,201,,,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,,,,,,,,,,,,,,,,,52135,2,2000,54137,90549,
13,HIDALGO,29,HUICHAPAN,37,64,325,4502,61,5894,3318,118,4668,160,,369,49,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19496,1,410,19907,34909,
13,HIDALGO,30,IXMIQUILPAN,61,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71725,
13,HIDALGO,31,JACALA DE LEDEZMA,18,22,1410,2395,1037,,83,,952,87,,475,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450,0,139,6589,9615,
13,HIDALGO,32,JALTOCAN,12,16,266,1548,1975,,,18,1500,153,,70,86,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,5784,1,112,5897,7664,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,,783,818,,,,,133,204,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,0,26,1993,2417,
13,HIDALGO,34,LA MISION,11,17,31,213,3564,,,,1292,108,,172,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5433,1,169,5603,7907,
13,HIDALGO,35,LOLOTLA,8,13,109,2020,788,32,71,1192,577,172,76,32,147,,9,2,0,2,1,1,3,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5244,0,171,5415,6816,
13,HIDALGO,36,METEPEC,9,17,27,182,98,191,92,,1025,117,,1671,2961,21,145,16,20,4,21,24,41,25,11,8,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6772,7,124,6903,9239,
13,HIDALGO,37,METZTITLAN,26,38,14,6827,4712,,,,,224,,57,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12067,7,190,12264,16591,
13,HIDALGO,38,MINERAL DEL CHICO,11,16,31,1568,2081,,308,251,,97,,293,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4665,1,111,4777,6900,
13,HIDALGO,39,MINERAL DEL MONTE,12,20,114,1345,14,429,291,599,327,1051,40,925,215,5,,,,,,,,,,,,,,,,,,,,,,,,,,1269,424,,,,,,,,,,,,,,,,,,,,7048,7,206,7261,11136,
13,HIDALGO,40,MINERAL DE LA REFORMA,76,207,3475,21001,438,349,538,583,13700,2547,534,2094,239,,37,26,3,4,27,2,3,5,55,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45675,42,1228,46945,126788,
13,HIDALGO,41,MIXQUIAHUALA DE JUAREZ,22,58,,796,58,4833,1410,169,5459,321,320,457,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,,,,,,,,,,,,,,,,,,,17337,7,363,17707,32819,
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,187,1238,1122,223,379,625,254,247,201,731,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5771,1,188,5960,8075,
13,HIDALGO,43,NICOLAS FLORES,19,20,1630,541,21,117,131,,1181,36,,20,18,9,10,7,1,4,10,0,5,4,14,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,2,70,3834,5058,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,20,1532,1515,28,1014,110,748,1747,64,,1140,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921,2,145,8068,11565,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,156,2634,250,348,43,53,866,87,39,138,12,102,171,15,2,2,25,0,1,2,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4960,0,97,5057,7214,
13,HIDALGO,46,PACULA,10,11,1201,182,6,4,68,9,220,1008,,29,0,10,1,1,0,1,0,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748,0,30,2778,4074,
13,HIDALGO,47,PACHUCA DE SOTO,129,376,4838,32759,1494,407,1207,1302,28055,1559,670,3134,432,,86,44,1,4,51,0,14,30,219,7,30,,,,,,,,,,,,,,,,,,11625,,,,,,,,,,,,,,,,,,87968,46,2526,90540,232399,
13,HIDALGO,48,PISAFLORES,20,28,1929,5261,,17,58,,596,100,,176,29,,1,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8172,0,209,8381,12729,
13,HIDALGO,49,PROGRESO DE OBREGON,12,30,1318,2080,35,82,943,98,3078,156,806,658,38,,73,36,5,13,16,0,3,27,168,3,6,,,,,,,,,,,,,,,,,,,643,,,,,,,,,,,,,,,,,10285,1,174,10460,18115,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,14,18,14,2151,52,,149,349,,429,1417,148,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5556,2,86,5644,7537,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,43,563,5442,245,123,169,44,2027,268,,3599,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,13558,2,321,13881,24619,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,28,38,2875,4467,,,,,25,,2068,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,9538,8,322,9868,12809,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,52,3485,7129,114,,264,63,1355,255,,6086,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18833,4,784,19621,27771,
